MUI.CreateTextH2|MUI.CreateTextH2({CURSOR})|h2 title text
app.GetStatusBarColor|app.GetStatusBarColor()|Get status bar color
app.GetNavigationBarColor|app.GetNavigationBarColor()|Get navigation bar color
app.LoadTheme|app.LoadTheme({CURSOR})|Load a theme
app.SaveTheme|app.SaveTheme({CURSOR})|Save the current theme
app.ResetTheme|app.ResetTheme({CURSOR})|Reset to default theme
app.GetTheme|app.GetTheme()|Get the current theme name
app.SetThemeVariant|app.SetThemeVariant({CURSOR})|Set the theme variant
app.GetThemeVariant|app.GetThemeVariant()|Get the theme variant
app.IsDarkMode|app.IsDarkMode()|Check if dark mode is enabled
app.SetDarkMode|app.SetDarkMode({CURSOR})|Enable/disable dark mode
app.ToggleDarkMode|app.ToggleDarkMode({CURSOR})|Toggle dark mode
app.IsLightMode|app.IsLightMode()|Check if light mode is enabled
app.SetLightMode|app.SetLightMode({CURSOR})|Enable/disable light mode
app.ToggleLightMode|app.ToggleLightMode({CURSOR})|Toggle light mode
app.GetContrast|app.GetContrast()|Get the contrast level
app.SetContrast|app.SetContrast({CURSOR})|Set the contrast level
app.GetBrightness|app.GetBrightness()|Get the brightness level
app.SetBrightness|app.SetBrightness({CURSOR})|Set the brightness level
app.GetDimAmount|app.GetDimAmount()|Get dim amount
app.SetDimAmount|app.SetDimAmount({CURSOR})|Set dim amount
app.GetAnimationSpeed|app.GetAnimationSpeed()|Get animation speed
app.SetAnimationSpeed|app.SetAnimationSpeed({CURSOR})|Set animation speed
app.GetTransitionDuration|app.GetTransitionDuration()|Get transition duration
app.SetTransitionDuration|app.SetTransitionDuration({CURSOR})|Set transition duration
app.GetElevation|app.GetElevation()|Get elevation level
app.SetElevation|app.SetElevation({CURSOR})|Set elevation level
app.GetCornerRadius|app.GetCornerRadius()|Get corner radius
app.SetCornerRadius|app.SetCornerRadius({CURSOR})|Set corner radius
app.GetRippleColor|app.GetRippleColor()|Get ripple color
app.SetRippleColor|app.SetRippleColor({CURSOR})|Set ripple color
app.GetRippleSpeed|app.GetRippleSpeed()|Get ripple speed
app.SetRippleSpeed|app.SetRippleSpeed({CURSOR})|Set ripple speed
app.GetShadowColor|app.GetShadowColor()|Get shadow color
app.SetShadowColor|app.SetShadowColor({CURSOR})|Set shadow color
app.GetShadowSize|app.GetShadowSize()|Get shadow size
app.SetShadowSize|app.SetShadowSize({CURSOR})|Set shadow size
app.GetShadowBlur|app.GetShadowBlur()|Get shadow blur
app.SetShadowBlur|app.SetShadowBlur({CURSOR})|Set shadow blur
app.GetShadowOffsetX|app.GetShadowOffsetX()|Get shadow offset X
app.SetShadowOffsetX|app.SetShadowOffsetX({CURSOR})|Set shadow offset X
app.GetShadowOffsetY|app.GetShadowOffsetY()|Get shadow offset Y
app.SetShadowOffsetY|app.SetShadowOffsetY({CURSOR})|Set shadow offset Y
app.GetBorderColor|app.GetBorderColor()|Get border color
app.SetBorderColor|app.SetBorderColor({CURSOR})|Set border color
app.GetBorderWidth|app.GetBorderWidth()|Get border width
app.SetBorderWidth|app.SetBorderWidth({CURSOR})|Set border width
app.GetBorderStyle|app.GetBorderStyle()|Get border style
app.SetBorderStyle|app.SetBorderStyle({CURSOR})|Set border style
app.GetOutlineColor|app.GetOutlineColor()|Get outline color
app.SetOutlineColor|app.SetOutlineColor({CURSOR})|Set outline color
app.GetOutlineWidth|app.GetOutlineWidth()|Get outline width
app.SetOutlineWidth|app.SetOutlineWidth({CURSOR})|Set outline width
app.GetOpacity|app.GetOpacity()|Get opacity level
app.SetOpacity|app.SetOpacity({CURSOR})|Set opacity level
app.GetVisible|app.GetVisible()|Get visibility
app.SetVisibility|app.SetVisibility({CURSOR})|Set visibility
app.Show|app.Show()|Show the view
app.Hide|app.Hide()|Hide the view
app.Toggle|app.Toggle({CURSOR})|Toggle visibility
app.IsVisible|app.IsVisible()|Check if view is visible
app.GetAlpha|app.GetAlpha()|Get alpha/transparency
app.SetAlpha|app.SetAlpha({CURSOR})|Set alpha/transparency
app.FadeIn|app.FadeIn({CURSOR})|Fade in the view
app.FadeOut|app.FadeOut({CURSOR})|Fade out the view
app.FadeTo|app.FadeTo({CURSOR})|Fade to a given alpha
app.SlideIn|app.SlideIn({CURSOR})|Slide in the view
app.SlideOut|app.SlideOut({CURSOR})|Slide out the view
app.SlideTo|app.SlideTo({CURSOR})|Slide to a position
app.RotateIn|app.RotateIn({CURSOR})|Rotate in the view
app.RotateOut|app.RotateOut({CURSOR})|Rotate out the view
app.RotateTo|app.RotateTo({CURSOR})|Rotate to a given angle
app.ScaleIn|app.ScaleIn({CURSOR})|Scale in the view
app.ScaleOut|app.ScaleOut({CURSOR})|Scale out the view
app.ScaleTo|app.ScaleTo({CURSOR})|Scale to a given size
app.BounceIn|app.BounceIn({CURSOR})|Bounce in the view
app.BounceOut|app.BounceOut({CURSOR})|Bounce out the view
app.FlipIn|app.FlipIn({CURSOR})|Flip in the view
app.FlipOut|app.FlipOut({CURSOR})|Flip out the view
app.FlipTo|app.FlipTo({CURSOR})|Flip to a given angle
app.Shake|app.Shake({CURSOR})|Shake the view
app.Pulse|app.Pulse({CURSOR})|Pulse the view
app.Blink|app.Blink({CURSOR})|Blink the view
app.ZoomIn|app.ZoomIn({CURSOR})|Zoom in the view
app.ZoomOut|app.ZoomOut({CURSOR})|Zoom out the view
app.Highlight|app.Highlight({CURSOR})|Highlight the view
app.Dim|app.Dim({CURSOR})|Dim the view
app.Undim|app.Undim({CURSOR})|Undim the view
app.GetX|app.GetX()|Get the X position
app.GetY|app.GetY()|Get the Y position
app.GetWidth|app.GetWidth()|Get the width
app.GetHeight|app.GetHeight()|Get the height
app.SetPosition|app.SetPosition({CURSOR})|Set the position
app.SetSize|app.SetSize({CURSOR})|Set the size
app.GetLeft|app.GetLeft()|Get the left position
app.GetTop|app.GetTop()|Get the top position
app.SetLeft|app.SetLeft({CURSOR})|Set the left position
app.SetTop|app.SetTop({CURSOR})|Set the top position
app.GetRight|app.GetRight()|Get the right position
app.SetRight|app.SetRight({CURSOR})|Set the right position
app.GetBottom|app.GetBottom()|Get the bottom position
app.SetBottom|app.SetBottom({CURSOR})|Set the bottom position
app.GetCenterX|app.GetCenterX()|Get the center X
app.GetCenterY|app.GetCenterY()|Get the center Y
app.SetCenter|app.SetCenter({CURSOR})|Set the center position
app.AlignParentLeft|app.AlignParentLeft({CURSOR})|Align to parent left
app.AlignParentRight|app.AlignParentRight({CURSOR})|Align to parent right
app.AlignParentTop|app.AlignParentTop({CURSOR})|Align to parent top
app.AlignParentBottom|app.AlignParentBottom({CURSOR})|Align to parent bottom
app.AlignParentCenter|app.AlignParentCenter({CURSOR})|Align to parent center
app.AlignParentCenterX|app.AlignParentCenterX({CURSOR})|Align to parent center X
app.AlignParentCenterY|app.AlignParentCenterY({CURSOR})|Align to parent center Y
app.CenterInParent|app.CenterInParent({CURSOR})|Center in parent
app.SetMargins|app.SetMargins({CURSOR})|Set margins
app.GetMargins|app.GetMargins()|Get margins
app.SetPadding|app.SetPadding({CURSOR})|Set padding
app.GetPadding|app.GetPadding()|Get padding
app.SetBackground|app.SetBackground({CURSOR})|Set background color/drawable
app.GetBackground|app.GetBackground()|Get background color
app.SetBackgroundTint|app.SetBackgroundTint({CURSOR})|Set background tint
app.SetForeground|app.SetForeground({CURSOR})|Set foreground drawable
app.SetTranslationX|app.SetTranslationX({CURSOR})|Set translation X
app.SetTranslationY|app.SetTranslationY({CURSOR})|Set translation Y
app.SetTranslationZ|app.SetTranslationZ({CURSOR})|Set translation Z
app.GetTranslationX|app.GetTranslationX()|Get translation X
app.GetTranslationY|app.GetTranslationY()|Get translation Y
app.GetTranslationZ|app.GetTranslationZ()|Get translation Z
app.SetRotation|app.SetRotation({CURSOR})|Set rotation
app.GetRotation|app.GetRotation()|Get rotation
app.SetRotationX|app.SetRotationX({CURSOR})|Set rotation X
app.GetRotationX|app.GetRotationX()|Get rotation X
app.SetRotationY|app.SetRotationY({CURSOR})|Set rotation Y
app.GetRotationY|app.GetRotationY()|Get rotation Y
app.SetScaleX|app.SetScaleX({CURSOR})|Set scale X
app.GetScaleX|app.GetScaleX()|Get scale X
app.SetScaleY|app.SetScaleY({CURSOR})|Set scale Y
app.GetScaleY|app.GetScaleY()|Get scale Y
app.SetPivotX|app.SetPivotX({CURSOR})|Set pivot X
app.GetPivotX|app.GetPivotX()|Get pivot X
app.SetPivotY|app.SetPivotY({CURSOR})|Set pivot Y
app.GetPivotY|app.GetPivotY()|Get pivot Y
app.SetClip|app.SetClip({CURSOR})|Set clipping
app.GetClip|app.GetClip()|Get clipping
app.SetClipBounds|app.SetClipBounds({CURSOR})|Set clip bounds
app.GetClipBounds|app.GetClipBounds()|Get clip bounds
app.SetClipToOutline|app.SetClipToOutline({CURSOR})|Set clip to outline
app.SetOutlineProvider|app.SetOutlineProvider({CURSOR})|Set outline provider
app.SetZ|app.SetZ({CURSOR})|Set Z position
app.GetZ|app.GetZ()|Get Z position
app.SetTag|app.SetTag({CURSOR})|Set a tag
app.GetTag|app.GetTag()|Get the tag
app.SetId|app.SetId({CURSOR})|Set an ID
app.GetId|app.GetId()|Get the ID
app.FindView|app.FindView({CURSOR})|Find a view by ID
app.FindViews|app.FindViews({CURSOR})|Find views by ID
app.BringToFront|app.BringToFront({CURSOR})|Bring view to front
app.SendToBack|app.SendToBack({CURSOR})|Send view to back
app.SetOnTouch|app.SetOnTouch({CURSOR})|Set touch callback
app.SetOnLongTouch|app.SetOnLongTouch({CURSOR})|Set long touch callback
app.SetOnClick|app.SetOnClick({CURSOR})|Set click callback
app.SetOnLongClick|app.SetOnLongClick({CURSOR})|Set long click callback
app.SetOnDoubleClick|app.SetOnDoubleClick({CURSOR})|Set double click callback
app.SetOnDrag|app.SetOnDrag({CURSOR})|Set drag callback
app.SetOnDrop|app.SetOnDrop({CURSOR})|Set drop callback
app.SetOnSwipe|app.SetOnSwipe({CURSOR})|Set swipe callback
app.SetOnPinch|app.SetOnPinch({CURSOR})|Set pinch callback
app.SetOnZoom|app.SetOnZoom({CURSOR})|Set zoom callback
app.SetOnFocus|app.SetOnFocus({CURSOR})|Set focus callback
app.SetOnBlur|app.SetOnBlur({CURSOR})|Set blur callback
app.SetOnHover|app.SetOnHover({CURSOR})|Set hover callback
app.SetOnKeyDown|app.SetOnKeyDown({CURSOR})|Set key down callback
app.SetOnKeyUp|app.SetOnKeyUp({CURSOR})|Set key up callback
app.SetOnKeyPress|app.SetOnKeyPress({CURSOR})|Set key press callback
app.SetOnScroll|app.SetOnScroll({CURSOR})|Set scroll callback
app.SetOnLayout|app.SetOnLayout({CURSOR})|Set layout callback
app.SetOnMeasure|app.SetOnMeasure({CURSOR})|Set measure callback
app.SetOnDraw|app.SetOnDraw({CURSOR})|Set draw callback
app.SetOnAnimate|app.SetOnAnimate({CURSOR})|Set animation callback
app.SetOnUpdate|app.SetOnUpdate({CURSOR})|Set update callback
app.SetOnChange|app.SetOnChange({CURSOR})|Set change callback
app.SetOnValueChange|app.SetOnValueChange({CURSOR})|Set value change callback
app.SetOnStateChange|app.SetOnStateChange({CURSOR})|Set state change callback
app.SetOnProgressChange|app.SetOnProgressChange({CURSOR})|Set progress change callback
app.SetOnSeekChange|app.SetOnSeekChange({CURSOR})|Set seek change callback
app.SetOnRatingChange|app.SetOnRatingChange({CURSOR})|Set rating change callback
app.SetOnPageChange|app.SetOnPageChange({CURSOR})|Set page change callback
app.SetOnTabChange|app.SetOnTabChange({CURSOR})|Set tab change callback
app.SetOnItemClick|app.SetOnItemClick({CURSOR})|Set item click callback
app.SetOnItemLongClick|app.SetOnItemLongClick({CURSOR})|Set item long click callback
app.SetOnItemSelected|app.SetOnItemSelected({CURSOR})|Set item selected callback
app.SetOnItemTouch|app.SetOnItemTouch({CURSOR})|Set item touch callback
app.SetOnGroupClick|app.SetOnGroupClick({CURSOR})|Set group click callback
app.SetOnGroupCollapse|app.SetOnGroupCollapse({CURSOR})|Set group collapse callback
app.SetOnGroupExpand|app.SetOnGroupExpand({CURSOR})|Set group expand callback
app.SetOnChildClick|app.SetOnChildClick({CURSOR})|Set child click callback
app.SetOnChildView|app.SetOnChildView({CURSOR})|Set child view callback
app.SetOnOverScroll|app.SetOnOverScroll({CURSOR})|Set over-scroll callback
app.SetOnEdgeReached|app.SetOnEdgeReached({CURSOR})|Set edge reached callback
app.SetOnRefresh|app.SetOnRefresh({CURSOR})|Set refresh callback
app.SetOnLoadMore|app.SetOnLoadMore({CURSOR})|Set load more callback
app.SetOnError|app.SetOnError({CURSOR})|Set error callback
app.SetOnSuccess|app.SetOnSuccess({CURSOR})|Set success callback
app.SetOnComplete|app.SetOnComplete({CURSOR})|Set complete callback
app.SetOnCancel|app.SetOnCancel({CURSOR})|Set cancel callback
app.SetOnDismiss|app.SetOnDismiss({CURSOR})|Set dismiss callback
app.SetOnShow|app.SetOnShow({CURSOR})|Set show callback
app.SetOnHide|app.SetOnHide({CURSOR})|Set hide callback
app.SetOnOpen|app.SetOnOpen({CURSOR})|Set open callback
app.SetOnClose|app.SetOnClose({CURSOR})|Set close callback
app.SetOnConnect|app.SetOnConnect({CURSOR})|Set connect callback
app.SetOnDisconnect|app.SetOnDisconnect({CURSOR})|Set disconnect callback
app.SetOnReconnect|app.SetOnReconnect({CURSOR})|Set reconnect callback
app.SetOnMessage|app.SetOnMessage({CURSOR})|Set message callback
app.SetOnData|app.SetOnData({CURSOR})|Set data callback
app.SetOnReady|app.SetOnReady({CURSOR})|Set ready callback
app.SetOnLoaded|app.SetOnLoaded({CURSOR})|Set loaded callback
app.SetOnLoading|app.SetOnLoading({CURSOR})|Set loading callback
app.SetOnProgress|app.SetOnProgress({CURSOR})|Set progress callback
app.SetOnResult|app.SetOnResult({CURSOR})|Set result callback
app.SetOnResponse|app.SetOnResponse({CURSOR})|Set response callback
app.SetOnReceive|app.SetOnReceive({CURSOR})|Set receive callback
app.SetOnSend|app.SetOnSend({CURSOR})|Set send callback
app.SetOnUpload|app.SetOnUpload({CURSOR})|Set upload callback
app.SetOnDownload|app.SetOnDownload({CURSOR})|Set download callback
app.SetOnSync|app.SetOnSync({CURSOR})|Set sync callback
app.SetOnBackup|app.SetOnBackup({CURSOR})|Set backup callback
app.SetOnRestore|app.SetOnRestore({CURSOR})|Set restore callback
app.SetOnInstall|app.SetOnInstall({CURSOR})|Set install callback
app.SetOnUninstall|app.SetOnUninstall({CURSOR})|Set uninstall callback
app.SetOnUpdateAvailable|app.SetOnUpdateAvailable({CURSOR})|Set update available callback
app.SetOnNewIntent|app.SetOnNewIntent({CURSOR})|Set new intent callback
app.SetOnActivityResult|app.SetOnActivityResult({CURSOR})|Set activity result callback
app.GetContext|app.GetContext()|Get the Android context
app.GetActivity|app.GetActivity()|Get the current activity
app.GetWindow|app.GetWindow()|Get the window object
app.GetPackageName|app.GetPackageName()|Get the package name
app.GetPackageInfo|app.GetPackageInfo()|Get the package info
app.GetVersionName|app.GetVersionName()|Get the version name
app.GetVersionCode|app.GetVersionCode()|Get the version code
app.GetAppName|app.GetAppName()|Get the app name
app.GetAppIcon|app.GetAppIcon()|Get the app icon
app.GetAppDataDir|app.GetAppDataDir()|Get the app data directory
app.GetFilesDir|app.GetFilesDir()|Get the files directory
app.GetCacheDir|app.GetCacheDir()|Get the cache directory
app.GetExternalFilesDir|app.GetExternalFilesDir()|Get external files directory
app.GetExternalCacheDir|app.GetExternalCacheDir()|Get external cache directory
app.GetExternalStorageDir|app.GetExternalStorageDir()|Get external storage directory
app.GetPublicDir|app.GetPublicDir()|Get public directory
app.GetDownloadsDir|app.GetDownloadsDir()|Get downloads directory
app.GetDocumentsDir|app.GetDocumentsDir()|Get documents directory
app.GetPicturesDir|app.GetPicturesDir()|Get pictures directory
app.GetMusicDir|app.GetMusicDir()|Get music directory
app.GetMoviesDir|app.GetMoviesDir()|Get movies directory
app.GetDCIMDir|app.GetDCIMDir()|Get DCIM directory
app.GetAlarmsDir|app.GetAlarmsDir()|Get alarms directory
app.GetNotificationsDir|app.GetNotificationsDir()|Get notifications directory
app.GetPodcastsDir|app.GetPodcastsDir()|Get podcasts directory
app.GetRingtonesDir|app.GetRingtonesDir()|Get ringtones directory
app.GetDataDir|app.GetDataDir()|Get data directory
app.GetDatabasePath|app.GetDatabasePath()|Get database path
app.GetSharedPref|app.GetSharedPref()|Get a shared preference value
app.SetSharedPref|app.SetSharedPref({CURSOR})|Set a shared preference value
app.RemoveSharedPref|app.RemoveSharedPref({CURSOR})|Remove a shared preference
app.ClearSharedPrefs|app.ClearSharedPrefs({CURSOR})|Clear all shared preferences
app.GetAllSharedPrefs|app.GetAllSharedPrefs()|Get all shared preferences
app.RegisterSharedPref|app.RegisterSharedPref({CURSOR})|Register shared pref change listener
app.UnregisterSharedPref|app.UnregisterSharedPref({CURSOR})|Unregister shared pref change listener
app.OpenUrl|app.OpenUrl({CURSOR})|Open a URL in the browser
app.SendEmail|app.SendEmail({CURSOR})|Send an email
app.MakeCall|app.MakeCall({CURSOR})|Make a phone call
app.Sms|app.Sms({CURSOR})|Send an SMS message
app.Share|app.Share({CURSOR})|Share content
app.ShareFile|app.ShareFile({CURSOR})|Share a file
app.ShareImage|app.ShareImage({CURSOR})|Share an image
app.ShareText|app.ShareText({CURSOR})|Share text
app.ShareLink|app.ShareLink({CURSOR})|Share a link
app.PickContact|app.PickContact({CURSOR})|Pick a contact
app.PickFile|app.PickFile({CURSOR})|Pick a file
app.PickImage|app.PickImage({CURSOR})|Pick an image
app.PickVideo|app.PickVideo({CURSOR})|Pick a video
app.PickAudio|app.PickAudio({CURSOR})|Pick an audio file
app.TakePicture|app.TakePicture({CURSOR})|Take a picture
app.RecordVideo|app.RecordVideo({CURSOR})|Record a video
app.RecordAudio|app.RecordAudio({CURSOR})|Record audio
app.ScanBarcode|app.ScanBarcode({CURSOR})|Scan a barcode
app.ScanQR|app.ScanQR({CURSOR})|Scan a QR code
app.ScanDocument|app.ScanDocument({CURSOR})|Scan a document
app.RecognizeSpeech|app.RecognizeSpeech({CURSOR})|Start speech recognition
app.Speak|app.Speak({CURSOR})|Speak text
app.GetLocation|app.GetLocation()|Get the current location
app.GetLastLocation|app.GetLastLocation()|Get the last known location
app.StartLocationUpdates|app.StartLocationUpdates({CURSOR})|Start location updates
app.StopLocationUpdates|app.StopLocationUpdates({CURSOR})|Stop location updates
app.GetHeading|app.GetHeading()|Get the heading
app.GetAltitude|app.GetAltitude()|Get the altitude
app.GetSpeed|app.GetSpeed()|Get the speed
app.GetAccuracy|app.GetAccuracy()|Get the accuracy
app.GetBearing|app.GetBearing()|Get the bearing
app.GetAddress|app.GetAddress()|Get the address from coordinates
app.GetCoordinates|app.GetCoordinates()|Get coordinates from address
app.Geocode|app.Geocode({CURSOR})|Geocode an address
app.ReverseGeocode|app.ReverseGeocode({CURSOR})|Reverse geocode coordinates
app.StartActivity|app.StartActivity({CURSOR})|Start an activity
app.StartService|app.StartService({CURSOR})|Start a service
app.StopService|app.StopService({CURSOR})|Stop a service
app.BindService|app.BindService({CURSOR})|Bind to a service
app.UnbindService|app.UnbindService({CURSOR})|Unbind from a service
app.BroadcastIntent|app.BroadcastIntent({CURSOR})|Broadcast an intent
app.SendBroadcast|app.SendBroadcast({CURSOR})|Send a broadcast
app.RegisterReceiver|app.RegisterReceiver({CURSOR})|Register a broadcast receiver
app.UnregisterReceiver|app.UnregisterReceiver({CURSOR})|Unregister a broadcast receiver
app.GetIntent|app.GetIntent()|Get the intent that started the activity
app.GetIntentExtra|app.GetIntentExtra()|Get an intent extra
app.GetIntentExtras|app.GetIntentExtras()|Get all intent extras
app.HasIntentExtra|app.HasIntentExtra()|Check if intent has extra
app.PutIntentExtra|app.PutIntentExtra({CURSOR})|Put an intent extra
app.RemoveIntentExtra|app.RemoveIntentExtra({CURSOR})|Remove an intent extra
app.ClearIntentExtras|app.ClearIntentExtras({CURSOR})|Clear intent extras
app.SetIntent|app.SetIntent({CURSOR})|Set the intent
app.SetResult|app.SetResult({CURSOR})|Set the activity result
app.Finish|app.Finish({CURSOR})|Finish the current activity
app.PostDelayed|app.PostDelayed({CURSOR})|Post a delayed runnable
app.RunOnUi|app.RunOnUi({CURSOR})|Run code on the UI thread
app.RunOnUiThread|app.RunOnUiThread({CURSOR})|Run on UI thread
app.Post|app.Post({CURSOR})|Post a runnable
app.RemoveCallbacks|app.RemoveCallbacks({CURSOR})|Remove pending callbacks
app.HasCallbacks|app.HasCallbacks()|Check if callbacks are pending
app.GetHandler|app.GetHandler()|Get the main handler
app.GetLooper|app.GetLooper()|Get the main looper
app.CreateHandler|app.CreateHandler({CURSOR})|Create a handler
app.CreateLooper|app.CreateLooper({CURSOR})|Create a looper
app.CreateThread|app.CreateThread({CURSOR})|Create a thread
app.CreateExecutor|app.CreateExecutor({CURSOR})|Create an executor
app.CreateFuture|app.CreateFuture({CURSOR})|Create a future
app.CreatePromise|app.CreatePromise({CURSOR})|Create a promise
app.CreateCoroutine|app.CreateCoroutine({CURSOR})|Create a coroutine
app.CreateFlow|app.CreateFlow({CURSOR})|Create a flow
app.CreateChannel|app.CreateChannel({CURSOR})|Create a channel
app.CreateActor|app.CreateActor({CURSOR})|Create an actor
app.CreateReactor|app.CreateReactor({CURSOR})|Create a reactor
app.CreateStream|app.CreateStream({CURSOR})|Create a stream
app.CreateBuffer|app.CreateBuffer({CURSOR})|Create a buffer
app.CreateQueue|app.CreateQueue({CURSOR})|Create a queue
app.CreateStack|app.CreateStack({CURSOR})|Create a stack
app.CreateDeque|app.CreateDeque({CURSOR})|Create a deque
app.CreatePool|app.CreatePool({CURSOR})|Create a pool
app.CreateCache|app.CreateCache({CURSOR})|Create a cache
app.CreateLRU|app.CreateLRU({CURSOR})|Create an LRU cache
app.CreateBloom|app.CreateBloom({CURSOR})|Create a bloom filter
app.CreateBitmap|app.CreateBitmap({CURSOR})|Create a bitmap
app.CreateMask|app.CreateMask({CURSOR})|Create a mask
app.CreateFilter|app.CreateFilter({CURSOR})|Create a filter
app.CreateIterator|app.CreateIterator({CURSOR})|Create an iterator
app.CreateGenerator|app.CreateGenerator({CURSOR})|Create a generator
app.CreateObserver|app.CreateObserver({CURSOR})|Create an observer
app.CreateSubject|app.CreateSubject({CURSOR})|Create a subject
app.CreateEvent|app.CreateEvent({CURSOR})|Create an event bus
app.CreateEmitter|app.CreateEmitter({CURSOR})|Create an emitter
app.CreateListener|app.CreateListener({CURSOR})|Create a listener
app.CreatePublisher|app.CreatePublisher({CURSOR})|Create a publisher
app.CreateSubscriber|app.CreateSubscriber({CURSOR})|Create a subscriber
app.CreateMiddleware|app.CreateMiddleware({CURSOR})|Create middleware
app.CreateInterceptor|app.CreateInterceptor({CURSOR})|Create an interceptor
app.CreateDecorator|app.CreateDecorator({CURSOR})|Create a decorator
app.CreateAdapter|app.CreateAdapter({CURSOR})|Create an adapter
app.CreateBridge|app.CreateBridge({CURSOR})|Create a bridge
app.CreateFacade|app.CreateFacade({CURSOR})|Create a facade
app.CreateProxy|app.CreateProxy({CURSOR})|Create a proxy
app.CreateSingleton|app.CreateSingleton({CURSOR})|Create a singleton
app.CreateFactory|app.CreateFactory({CURSOR})|Create a factory
app.CreateBuilder|app.CreateBuilder({CURSOR})|Create a builder
app.CreateStrategy|app.CreateStrategy({CURSOR})|Create a strategy
app.CreateTemplate|app.CreateTemplate({CURSOR})|Create a template
app.CreateCommand|app.CreateCommand({CURSOR})|Create a command
app.CreateState|app.CreateState({CURSOR})|Create a state object
app.CreateVisitor|app.CreateVisitor({CURSOR})|Create a visitor
app.CreateMediator|app.CreateMediator({CURSOR})|Create a mediator
app.CreateMemento|app.CreateMemento({CURSOR})|Create a memento
app.CreateFlyweight|app.CreateFlyweight({CURSOR})|Create a flyweight
app.CreateComposite|app.CreateComposite({CURSOR})|Create a composite
app.CreatePrototype|app.CreatePrototype({CURSOR})|Create a prototype
app.CreateRegistry|app.CreateRegistry({CURSOR})|Create a registry
app.CreateRepository|app.CreateRepository({CURSOR})|Create a repository
app.CreateServiceLocator|app.CreateServiceLocator({CURSOR})|Create a service locator
app.CreateDependency|app.CreateDependency({CURSOR})|Create a dependency injection
app.CreateContainer|app.CreateContainer({CURSOR})|Create an IoC container
app.CreateModule|app.CreateModule({CURSOR})|Create a module
app.CreatePlugin|app.CreatePlugin({CURSOR})|Create a plugin
app.CreateExtension|app.CreateExtension({CURSOR})|Create an extension
app.CreateAddon|app.CreateAddon({CURSOR})|Create an addon
app.CreateWidget|app.CreateWidget({CURSOR})|Create a widget
app.CreateComponent|app.CreateComponent({CURSOR})|Create a component
app.CreateElement|app.CreateElement({CURSOR})|Create an element
app.CreateFragment|app.CreateFragment({CURSOR})|Create a fragment
app.CreateScreen|app.CreateScreen({CURSOR})|Create a screen
app.CreatePage|app.CreatePage({CURSOR})|Create a page
app.CreateSection|app.CreateSection({CURSOR})|Create a section
app.CreateBlock|app.CreateBlock({CURSOR})|Create a block
app.CreateRow|app.CreateRow({CURSOR})|Create a row
app.CreateColumn|app.CreateColumn({CURSOR})|Create a column
app.CreateCell|app.CreateCell({CURSOR})|Create a cell
app.CreateGroup|app.CreateGroup({CURSOR})|Create a group
app.CreateLayer|app.CreateLayer({CURSOR})|Create a layer
app.SetOnScreenshot|app.SetOnScreenshot({CURSOR})|Set screenshot callback
app.IsScreenOn|app.IsScreenOn()|Check if screen is on
app.KeepScreenOn|app.KeepScreenOn({CURSOR})|Keep the screen on
app.GetBatteryLevel|app.GetBatteryLevel()|Get the battery level
app.GetBatteryStatus|app.GetBatteryStatus()|Get the battery status
app.IsCharging|app.IsCharging()|Check if device is charging
app.IsConnected|app.IsConnected()|Check if connected to network
app.IsWifiEnabled|app.IsWifiEnabled()|Check if WiFi is enabled
app.IsBluetoothEnabled|app.IsBluetoothEnabled()|Check if Bluetooth is enabled
app.IsLocationEnabled|app.IsLocationEnabled()|Check if location is enabled
app.IsNFCEnabled|app.IsNFCEnabled()|Check if NFC is enabled
app.IsAirplaneMode|app.IsAirplaneMode()|Check if airplane mode is on
app.IsDNDMode|app.IsDNDMode()|Check if do not disturb is on
app.IsLocked|app.IsLocked()|Check if device is locked
app.IsRooted|app.IsRooted()|Check if device is rooted
app.IsEmulator|app.IsEmulator()|Check if running on emulator
app.IsTablet|app.IsTablet()|Check if device is a tablet
app.IsTV|app.IsTV()|Check if device is a TV
app.IsWearable|app.IsWearable()|Check if device is wearable
app.IsAuto|app.IsAuto()|Check if device is Android Auto
app.IsChromebook|app.IsChromebook()|Check if device is a Chromebook
app.GetMemoryInfo|app.GetMemoryInfo()|Get memory information
app.GetStorageInfo|app.GetStorageInfo()|Get storage information
app.GetBatteryInfo|app.GetBatteryInfo()|Get battery information
app.GetNetworkInfo|app.GetNetworkInfo()|Get network information
app.GetSensorInfo|app.GetSensorInfo()|Get sensor information
app.GetDisplayInfo|app.GetDisplayInfo()|Get display information
app.GetCPUInfo|app.GetCPUInfo()|Get CPU information
app.GetGPUInfo|app.GetGPUInfo()|Get GPU information
app.GetRAMInfo|app.GetRAMInfo()|Get RAM information
app.GetBuildInfo|app.GetBuildInfo()|Get build information
app.GetFingerprint|app.GetFingerprint()|Get device fingerprint
app.GetSerial|app.GetSerial()|Get device serial number
app.GetAndroidId|app.GetAndroidId()|Get Android ID
app.GetAdvertisingId|app.GetAdvertisingId()|Get advertising ID
app.GetInstallReferrer|app.GetInstallReferrer()|Get install referrer
app.GetInstallStore|app.GetInstallStore()|Get install store
app.GetInstallerPackage|app.GetInstallerPackage()|Get installer package
app.GetFirstInstallTime|app.GetFirstInstallTime()|Get first install time
app.GetLastUpdateTime|app.GetLastUpdateTime()|Get last update time
app.GetSignatures|app.GetSignatures()|Get app signatures
